sample_id,study_name,study_subset,environment,sample,groupby,group,T,pH,O2_umol_L,Eh,Eh7,Bacteria_Zc,Archaea_Zc
SRR9053500,GSBT20,Prefilter,River & Seawater,DS1FALLzymo13,Region,Great Lakes,9.67,8.52,323.14,156,241.29,-0.163819,NA
SRR9053499,GSBT20,Prefilter,River & Seawater,DS1FALLzymo14,Region,Great Lakes,9.72,7.85,322.2,212.8,260.51,-0.164879,NA
SRR9050056,GSBT20,Prefilter,River & Seawater,EUM1,Region,Europe,15.06,7.96,283.14,97.5,152.4,-0.161706,NA
SRR9050272,GSBT20,Prefilter,River & Seawater,EUM10,Region,Europe,15.17,8.02,263.76,185.1,243.45,-0.161152,NA
SRR9050270,GSBT20,Prefilter,River & Seawater,EUM11,Region,Europe,15.72,8.01,273.14,166.1,223.99,-0.158261,NA
SRR9049922,GSBT20,Prefilter,River & Seawater,EUV1,Region,Europe,16.61,7.77,245.63,156.3,200.57,-0.156067,NA
SRR9049923,GSBT20,Prefilter,River & Seawater,EUV10,Region,Europe,17,8.2,231.57,100.1,169.18,-0.158205,NA
SRR9049917,GSBT20,Prefilter,River & Seawater,EUV11,Region,Europe,17.22,8.19,220.95,94,162.56,-0.159078,NA
SRR9053730,GSBT20,Prefilter,River & Seawater,GAL1,Region,East Coast U.S.,26.89,7.4,235.01,214.3,238.11,-0.152485,NA
SRR9053113,GSBT20,Prefilter,River & Seawater,GAL11,Region,East Coast U.S.,27.44,8.24,231.57,120.3,194.25,-0.152071,NA
SRR9053463,GSBT20,Prefilter,River & Seawater,GAL12,Region,East Coast U.S.,27.44,8.28,230.95,129.5,205.84,-0.158038,NA
SRR9053343,GSBT20,Prefilter,River & Seawater,GBFALLzymo1,Region,Great Lakes,18.33,8.15,305.64,160.5,227.01,-0.159827,NA
SRR9053342,GSBT20,Prefilter,River & Seawater,GBFALLzymo10,Region,Great Lakes,20.06,8.18,302.2,198.6,267.25,-0.161495,NA
SRR9053345,GSBT20,Prefilter,River & Seawater,GBFALLzymo11,Region,Great Lakes,20.06,8.16,307.2,133.7,201.18,-0.159074,NA
SRR9053331,GSBT20,Prefilter,River & Seawater,NY1,Region,East Coast U.S.,18.33,7.2,218.76,110.7,122.27,-0.154135,NA
SRR9053654,GSBT20,Prefilter,River & Seawater,NY11,Region,East Coast U.S.,20.06,7.78,196.26,140,185.38,-0.15149,NA
SRR9053656,GSBT20,Prefilter,River & Seawater,NY12,Region,East Coast U.S.,20.72,7.76,192.51,140.3,184.61,-0.15112,NA
SRR9050003,GSBT20,Prefilter,River & Seawater,EUN10,Region,Europe,18.94,8.13,264.38,64,129.49,-0.159173,NA
SRR9049908,GSBT20,Prefilter,River & Seawater,EUN12,Region,Europe,18.67,8.14,263.13,63.7,129.71,-0.160514,NA
SRR9049902,GSBT20,Prefilter,River & Seawater,EUN13,Region,Europe,18.56,8.14,262.2,60.6,126.58,-0.159649,NA
SRR9049813,GSBT20,Prefilter,River & Seawater,EUR1,Region,Europe,13.17,9.33,334.7,53,185.36,-0.161216,NA
SRR9050314,GSBT20,Prefilter,River & Seawater,EUR10,Region,Europe,12.56,8.34,342.51,124.5,200.46,-0.162426,NA
SRR9049814,GSBT20,Prefilter,River & Seawater,EUR11,Region,Europe,12.72,8.86,350.95,100.9,206.4,-0.161932,NA
SRR9050146,GSBT20,Prefilter,River & Seawater,EUW10,Region,Europe,9.7,7.88,285.01,150.5,199.89,-0.162886,NA
SRR9050148,GSBT20,Prefilter,River & Seawater,EUW11,Region,Europe,9.7,7.89,285.01,150.3,200.25,-0.163061,NA
SRR9050150,GSBT20,Prefilter,River & Seawater,EUW12,Region,Europe,9.6,8.64,285.64,80.6,172.6,-0.162108,NA
SRR9053475,GSBT20,Prefilter,River & Seawater,NEW1,Region,East Coast U.S.,23.78,7.52,169.38,141.5,172.14,-0.154441,NA
SRR9053477,GSBT20,Prefilter,River & Seawater,NEW10,Region,East Coast U.S.,23.83,7.52,172.82,122.3,152.94,-0.156604,NA
SRR9053752,GSBT20,Prefilter,River & Seawater,NEW11,Region,East Coast U.S.,23.83,7.52,174.69,124.3,154.94,-0.152814,NA
SRR9053883,GSBT20,Prefilter,River & Seawater,NOF1,Region,East Coast U.S.,22.44,6.34,220.01,148.2,109.49,-0.143404,NA
SRR9053884,GSBT20,Prefilter,River & Seawater,NOF10,Region,East Coast U.S.,24.78,7.97,217.51,236.6,293.94,-0.147567,NA
SRR9053886,GSBT20,Prefilter,River & Seawater,NOF11,Region,East Coast U.S.,24.78,7.97,217.51,225.7,283.04,-0.147017,NA
